Filename,Audio_length
5348024557503098_f1885_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503661_f632_chunk_6_subchunk_1_QC1_5_upsampling_simulation.wav,6.399
5348024557502986_f1801_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503409_f30_chunk_1_subchunk_1_QC1_4_silence_insertion.wav,32.67
5348024557503671_f1099_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,3.728
5348024557503450_f1332_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,42.407
5348024557503020_f301_chunk_9_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503193_f258_chunk_2_subchunk_1_QC1_3_sample_rate_reduction.wav,17.755
5348024557502778_f403_chunk_12_subchunk_1_QC1_1_format_conversion.mp3,8.361
5348024557503720_f605_chunk_9_subchunk_1_QC1_5_upsampling_simulation.wav,9.375
5348024557503367_f364_chunk_9_subchunk_1_QC1_4_silence_insertion.wav,36.043
5348024557503620_f1205_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,3.79
5348024557503556_f928_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,33.22
5348024557502845_f262_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,13.407
5348024557502897_f251_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,3.761
5348024557503300_f176_chunk_5_subchunk_1_QC1_3_sample_rate_reduction.wav,3.711
5348024557503024_f552_chunk_13_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503255_f588_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,8.127
5348024557503068_f185_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503596_f133_chunk_14_subchunk_1_QC1_5_upsampling_simulation.wav,8.606
5348024557503248_f383_chunk_2_subchunk_1_QC1_3_sample_rate_reduction.wav,12.83
5348024557503357_f316_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,1.568
5348024557503640_f503_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,12.639
5348024557503357_f316_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,0.86
5348024557503266_f2090_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,1.823
5348024557503524_f581_chunk_1_subchunk_1_QC1_4_silence_insertion.wav,40.739
5348024557502903_f495_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,18.174
5348024557503514_f1040_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,30.687
5348024557503535_f352_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,33.807
5348024557503083_f1_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503367_f364_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,9.567
5348024557503416_f607_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,43.407
5348024557502816_f1182_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,13.224
5348024557502897_f251_chunk_12_subchunk_1_QC1_1_format_conversion.mp3,9.375
5348024557503596_f133_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,3.369
5348024557503720_f605_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,4.575
5348024557502952_f485_chunk_1_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503543_f579_chunk_7_subchunk_1_QC1_4_silence_insertion.wav,44.271
5348024557503013_f103_chunk_5_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502903_f495_chunk_1_subchunk_1_QC1_1_format_conversion.mp3,13.436
5348024557503594_f361_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,15.807
5348024557502765_f2240_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,0.544
5348024557503664_f502_chunk_3_subchunk_1_QC1_5_upsampling_simulation.wav,2.237
5348024557503072_f263_chunk_14_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503272_f1047_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,7.975
5348024557502945_f431_chunk_1_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502847_f615_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,7.426
5348024557502922_f792_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,6.495
5348024557503365_f365_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,4.095
5348024557502773_f399_chunk_4_subchunk_1_QC1_1_format_conversion.mp3,0.622
5348024557502906_f625_chunk_1_subchunk_1_QC1_1_format_conversion.mp3,5.919
5348024557503060_f405_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503407_f483_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,39.291
5348024557503604_f750_chunk_13_subchunk_1_QC1_5_upsampling_simulation.wav,11.391
5348024557503072_f263_chunk_16_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503094_f1884_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502798_f1181_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,15.903
5348024557503248_f383_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,16.382
5348024557503604_f750_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,5.151
5348024557503740_f1691_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,3.93
5348024557503024_f552_chunk_18_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502896_f496_chunk_4_subchunk_1_QC1_1_format_conversion.mp3,4.767
5348024557503015_f306_chunk_9_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502897_f251_chunk_8_subchunk_1_QC1_1_format_conversion.mp3,5.247
5348024557503178_f115_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,1.407
5348024557502906_f625_chunk_5_subchunk_1_QC1_1_format_conversion.mp3,6.399
5348024557502907_f252_chunk_7_subchunk_1_QC1_1_format_conversion.mp3,5.247
5348024557502906_f625_chunk_10_subchunk_1_QC1_1_format_conversion.mp3,6.002
5348024557503654_f270_chunk_7_subchunk_1_QC1_5_upsampling_simulation.wav,4.98
5348024557503024_f552_chunk_12_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503415_f29_chunk_1_subchunk_1_QC1_4_silence_insertion.wav,31.656
5348024557503535_f352_chunk_17_subchunk_1_QC1_4_silence_insertion.wav,31.311
5348024557503278_f2129_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,5.314
5348024557503101_f1886_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503660_f269_chunk_3_subchunk_1_QC1_5_upsampling_simulation.wav,7.551
5348024557503368_f568_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,42.894
5348024557503295_f746_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,2.751
5348024557503543_f579_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,37.935
5348024557503694_f1260_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,0.79
5348024557503604_f750_chunk_29_subchunk_1_QC1_5_upsampling_simulation.wav,8.99
5348024557503306_f721_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,3.711
5348024557503597_f132_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,17.439
5348024557503484_f209_chunk_3_subchunk_1_QC1_4_silence_insertion.wav,37.743
5348024557503720_f605_chunk_8_subchunk_1_QC1_5_upsampling_simulation.wav,7.492
5348024557503042_f759_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503368_f568_chunk_3_subchunk_1_QC1_4_silence_insertion.wav,35.988
5348024557503613_f1086_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,2.09
5348024557502778_f403_chunk_26_subchunk_1_QC1_1_format_conversion.mp3,8.223
5348024557503428_f206_chunk_4_subchunk_1_QC1_4_silence_insertion.wav,43.599
5348024557502908_f494_chunk_9_subchunk_1_QC1_1_format_conversion.mp3,6.687
5348024557502896_f496_chunk_10_subchunk_1_QC1_1_format_conversion.mp3,14.968
5348024557503656_f273_chunk_9_subchunk_1_QC1_5_upsampling_simulation.wav,11.775
5348024557502896_f496_chunk_7_subchunk_1_QC1_1_format_conversion.mp3,10.616
5348024557503245_f587_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,4.959
5348024557503428_f206_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,34.383
5348024557503065_f2_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502916_f1331_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,10.727
5348024557503755_f216_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,9.567
5348024557503524_f581_chunk_3_subchunk_1_QC1_4_silence_insertion.wav,31.884
5348024557503082_f186_chunk_11_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503379_f1640_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,42.351
5348024557503661_f632_chunk_5_subchunk_1_QC1_5_upsampling_simulation.wav,15.325
5348024557502906_f625_chunk_11_subchunk_1_QC1_1_format_conversion.mp3,4.008
5348024557503119_f331_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503363_f458_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,17.247
5348024557503661_f632_chunk_11_subchunk_1_QC1_5_upsampling_simulation.wav,7.018
5348024557503275_f1554_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,8.753
5348024557503020_f301_chunk_2_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503242_f390_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,19.167
5348024557503367_f364_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,5.727
5348024557503108_f1890_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502906_f625_chunk_7_subchunk_1_QC1_1_format_conversion.mp3,13.695
5348024557503020_f301_chunk_11_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503604_f750_chunk_18_subchunk_1_QC1_5_upsampling_simulation.wav,6.11
5348024557503082_f186_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503368_f568_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,36.173
5348024557503404_f1153_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,30.627
5348024557503333_f2190_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,13.907
5348024557503594_f361_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,13.119
5348024557503072_f263_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502908_f494_chunk_8_subchunk_1_QC1_1_format_conversion.mp3,11.102
5348024557503300_f176_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,12.063
5348024557503484_f209_chunk_4_subchunk_1_QC1_4_silence_insertion.wav,43.115
5348024557503300_f176_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,3.039
5348024557503222_f2006_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,8.487
5348024557502833_f614_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,0.584
5348024557503015_f306_chunk_1_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503416_f607_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,35.343
